CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_ZIP|CAND_CITY|CAND_STATE
P40000739|SWIDER, PETER PAUL SEBASTIAN|DEM|1992|US|P|C|C00248179|32931|COCOA BEACH|FL
P40000754|ELIJAH, PROPHET|IND|1984|US|P|C|C00171264|20005|WASHINGTON|DC
P40000770|BLACK, EARL EDWARD|IND|1984|US|P|C|C00169243|67333|CANEY|KS
P40000788|PRICE, ERIC LINDSAY|DEM|1988|US|P|C|C00215087|90021|LOS ANGELES|CA
P40000796|THACKER, MARLIN|DEM|1992|US|P|C||35962|CROSSVILLE|AL
P40000812|TRENT, PAUL EDWARD|IND|1992|US|P|C|C00256792|73130|MIDWEST CITY|OK
P40000846|BERGLAND, DAVID|LIB|1984|US|P|C|C00170266|92626|COSTA MESA|CA
P40000853|MASTERS, ISABELL DR|REP|1992|US|P|C|C00215756|66604|TOPEKA|KS
P40000903|BURDETTE, NATHAN|IND|1984|US|P|C|C00171132|46383|VALPARAISO|IN
P40000978|STEWART, ALPHONSO DEWITT|REP|1992|US|P|C|C00246108|63188|ST LOUIS|MO
P40001018|JACKSON, JESSE LOUIS|DEM|1988|US|P|C|C00217893|60649|CHICAGO|IL
P40001042|HURLEY, WILLIAM H|DEM|1992|US|P|C|C00174045|35219|BIRMINGHAM|AL
P40001067|KOEBEL, LAWRENCE F JR|IND|1984|US|P|C|C00172312|43081|WESTERVILLE|OH
P40001091|ROBOT, REBECCA|IND|1984|US|P|C|C00172544|21207|BALTIMORE|MD
P40001125|PORTER, ANDREW JEFFREY|DEM|1984|US|P|C|C00172890|73089|TUTTLE|OK
P40001133|SCHMIDT, SUSANNE EDITH|UNK|1984|US|P|C|C00173187|20814|BETHESDA|MD
P40001190|KOCZAK, STEPHEN ANDREW|REP|1992|US|P|C|C00182147|20008|WASHINGTON|DC
P40001257|MABEY, STEVEN DOUGLAS|UNK|1992|US|P|C||84103|SALT LAKE CITY|UT
P40001273|HARRINGTON, JOSEPH D|IND|1984|US|P|C|C00174409|01101|SPRINGFIELD|MA
P40001315|OWENS, ZELMA FAYE|DEM|1984|US|P|C|C00174912|90262|LYNWOOD|CA
P40001349|GUENTHER, IRVIN J|IND|1996|US|P|C|||LOUISVILLE|KY
P40001372|GULLETTE, JOHN DEWAYNE|REP|1992|US|P|C|C00277442||BROOKSVILLE|FL
P40001430|GLOVER, MILDRED|DEM|1988|US|P|C|C00214155|30310|ATLANTA|GA
P40001521|GRIFFITH, MICHAEL LEE|DEM|1984|US|P|C|C00179499|66603|TOPEKA|KS
P40001687|LOCKE, BOBBY|UNK|1992|US|P|C|C00184689|78205|SAN ANTONIO|TX
P40001737|MARTIN, JOHN GOVERNOR|UNK|1988|US|P|C|C00185314|20017|WASHINGTON|DC
P40001760|KUSUMI, JOHN PATRICK|UNK|1984|US|P|C|C00186700|06708|WATERBURY|CT
P40001828|RICHARDS, BOB|IND|1984|US|P|C|C00186908|76710|WACO|TX
P40001836|RUTHERFORD, KRISTOPHER PAUL|DEM|1988|US|P|C|C00188169|04038|GORHAM|ME
P40001968|SALAMAN, MAUREEN KENNEDY (VP)|UNK|1984|US|P|C|C00190454|94108|SAN FRANSISCO|CA
P40001992|BRADFORD, ROBERT W|IND|1988|US|P|C|C00214676|38134|MEMPHIS|TN
P60000171|BENTSEN, LLOYD M JR (VICE PRESIDENT)|DEM|1988|US|P|C|C00031252|78539|MCCOOK|TX
P60000247|CARTER, JIMMY|DEM|1980|US|P|C|C00129445|20500|WASHINGTON|DC
P60000270|CLEGG, BILLY JOE|UNK|1992|US|P|C|C00272799||TAMPA|FL
P60000361|GORDON, J JOHN|REP|1984|US|P|C|C00031351|01602|WORCESTER|MA
P60000452|LAROUCHE, LYNDON H JR|DEM|1992|US|P|C|C00272781|22141|ROUND HILL|VA
P60000494|MCCARTHY, EUGENE J|DEM|1992|US|P|C|C00254698|22749|WOODVILLE|VA
P60000668|REAGAN, RONALD|REP|1984|US|P|C|C00186312|20001|WASHINGTON|DC
P60000825|TOWERS, REGINALD SULLIVAN VOYLE|DEM|1992|US|P|C|C00220491|90401|SANTA MONICA|CA
P60001146|BROWN, EDMUND G JR|DEM|1992|US|P|C|C00253914|94115|SAN FRANCISCO|CA
P60001187|LOVEWELL, ROBERT S|REP|1996|US|P|C||03301|CONCORD|NH
P60001344|GRAMM, PHIL|REP|1996|US|P|C|||DALLAS|TX
P60001351|ROSS, JOHN MICHAEL LEWIS|DEM|1996|US|P|C||97213|PORTLAND|OR
P60001393|HALL, GUS|COM|1984|US|P|C|C00177782|10705|YONKERS|NY
P60002250|BRISBEN, JOHN QUINN|SOC|1992|US|P|C|C00254672|60628|CHICAGO|IL
P60002292|FIOLA, NELL K MRS|IND|1992|US|P|C|C00048553|55337|BURNSVILLE|MN
P80000029|KUEHL, RAYMOND C JR|DEM|1988|US|P|C||90801|LONG BEACH|CA
P80000045|STEWART, ANDREW JOHN|UNK|1988|US|P|C|C00192922|20003|WASHINGTON|DC
P80000060|KEMP, JACK|REP|1988|US|P|C|C00214221|20515|WASHINGTON|DC
P80000086|OTT, CHARLES J|UNK|1988|US|P|C|C00193326|11372|JACKSON HEIGHTS|NY
P80000094|LEACH, STEPHEN E|UNK|1988|US|P|C|C00193615|17403|YORK|PA
P80000102|DEVERS, ANDREW SAMUEL|UNK|1988|US|P|C|C00193789|17403|YORK|PA
P80000110|ROSENBAUM, ARY DOV|DEM|1988|US|P|C|C00193961|11236|BROOKLYN|NY
P80000128|BURGER, PUNCH B|IND|1988|US|P|C|C00194928|27514|CHAPEL HILL|NC
P80000169|TYLER, SHERMAN LEE JR|UNK|1988|US|P|C|C00195354|77033|HOUSTON|TX
P80000177|MCCANDLESS SR, JAMES CARVER|UNK|1988|US|P|C|C00195750|96079|PROJECT CITY|CA
P80000219|ABRAM, ALFRED JR|DEM|1990|US|P|C|C00201848|79001|HOUSTON|TX
P80000243|ABRAMCZYK, THOMAS JEFFERY|UNK|1988|US|P|C|C00199729|48183|TRENTON|MI
P80000250|SMITH, ROBERT J|REP|1988|US|P|C|C00201269|60643|CHICAGO|IL
P80000268|CARTER, WILLIE FELIX|DEM|1992|US|P|C|C00202176|76105|FORT WORTH|TX
P80000276|GREEN, JASON RALPH|IND|1988|US|P|C|C00202937|54901|UW-OSHKOSH|WI
P80000284|LAMAGNO, CONCETTA MARIE|UNK|1988|US|P|C|C00203323|61364|STREATOR|IL
P80000292|ADKINS, GORDON HALLMAN SR|UNK|1988|US|P|C|C00203604|75238|DALLAS|TX
P80000300|SHEPPARD, ALICE FEGGINS|REP|1988|US|P|C|C00203786|11520|FREEPORT|NY
P80000326|SAUNDERS, ROBERT LEE|IND|1992|US|P|C|C00279059|20013|WASHINGTON|DC
P80000334|BOYDSTON, JOHN EDWIN REV (FATHER)|UNK|1988|US|P|C|C00206557|76230|BOWIE|TX
P80000342|DU PONT, PETE|REP|1988|US|P|C|C00207530|19732|ROCKLAND|DE
P80000391|HORTON, MAURICE|REP|1992|US|P|C|C00208108|62703|SPRINGFIELD|IL
