CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_LAT|CMTE_LONG|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00179150|DC-MARYLAND SOCIALIST WORKERS CAMPAIGN COMMITTEE|U|N|||M|NONE|39.30939096078431|-76.61851498039216|21218|BALTIMORE|MD
C00179176|RAPHAEL ESPARRA FOR CONGRESS IN '84|P|H||H4NY00016|||40.65091198076924|-73.95300596153847|11215|BROOKLYN|NY
C00179192|ELIZABETH H MITCHELL FOR US SENATE COMMITTEE|P|S|DEM|S4ME00014|||44.38045340000001|-69.7674396|04330|AUGUSTA|ME
C00179200|PEOPLE FOR DIOGUARDI|P|H||H4NY20055|||41.069975|-73.75012772727271|10605|WHITE PLAINS|NY
C00179226|RAINBOW POLITICAL ACTION COMMITTEE|U|N|||M|NONE|33.74453425|-117.922941875|92642|GARDEN GROVE|CA
C00179259|ROBERT GRAY FOR CONGRESS COMMITTEE|P|H|DEM|H4MS02019|||33.947701|-90.76417|38774|SHELBY|MS
C00179275|NON-PARTISAN TRANSPORTATION ACTION COMMITTEE|U|Q|||T|SCHOOL TRANSPORTATION ASS'N ; NAT'L|38.80418333333333|-77.24831822222221|22152|SPRINGFIELD|VA
C00179283|MITCHELL FOR CONGRESS COMMITTEE A/K/A COMMITTEE TO ELECT W MITCHELL|P|H|DEM|H4CO03027|||38.883478|-106.966555|81224|CRESTED BUTTE|CO
C00179325|BILL HUMPHREY CONGRESSIONAL CAMPAIGN COMMITTEE|P|H|DEM|H4FL15023|||26.113664|-80.22376|33317|PLANTATION|FL
C00179366|CENTEL CORPORATION GOOD GOVERNMENT FUND|U|Q|||C|CENTEL CORPORATION A KANSAS CORP|38.89531540217391|-77.01958254710144|20036|WASHINGTON|DC
C00179374|PEOPLE FOR PETER BEARSE|P|H|DEM|H4NJ04021|||40.3244262|-74.6770994|08540|PRINCETON|NJ
